"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-11","2.07",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-13","0.01",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-14","0.31",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-16","0.44",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-17","0.30",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-19","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-20","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-22","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-23","0.37",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-24","1.54",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-25","0.19",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-26","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-27","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-28","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-29","0.29",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-30","0.06",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-31","0.52",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-01","0.26",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-03","0.11",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-05","0.43",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-09","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-17","0.03",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-19","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-20","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-21","0.05",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-22","2.56",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-23","0.73",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-24","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-25","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-26","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-27","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-28","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-09-30","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-01","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-05","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-09","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-17","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-19","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-20","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-22","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-23","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-24","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-25","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-26","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-27","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-28","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-30","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-10-31","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-01","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-05","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-09","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-17","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-19","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-20","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-11-22","0.00",",,I"
